"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"lipiec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2017";26,36;"zł";"";
0000000;"POLSKA";"lipiec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2018";;"zł";"";
0000000;"POLSKA";"lipiec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2019";;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,41;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";19,11;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2008";19,58;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";20,72;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2010";21,23;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2011";23,76;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2012";25,19;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2013";25,62;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";25,24;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";25,67;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";25,39;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2017";26,24;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2018";;"zł";"";
0000000;"POLSKA";"sierpień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2019";;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,40;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";19,20;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2008";19,74;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";20,90;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2010";21,51;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2011";23,97;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2012";25,12;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2013";25,58;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";25,17;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";25,80;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";25,68;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2017";27,02;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2018";;"zł";"";
0000000;"POLSKA";"wrzesień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2019";;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,37;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";19,20;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2008";20,17;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";20,84;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2010";21,68;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2011";24,12;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2012";25,37;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2013";25,57;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";25,26;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";25,65;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";25,94;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2017";27,12;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2018";;"zł";"";
0000000;"POLSKA";"październik";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2019";;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,49;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";19,26;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2008";20,21;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";20,92;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2010";21,76;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2011";24,35;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2012";25,22;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2013";25,76;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";25,27;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";25,62;"zł";"";
0000000;"POLSKA";"listopad";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";25,99;"zł";"";
