"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,78;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,75;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,79;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,86;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,99;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,60;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,60;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,70;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,94;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,91;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,90;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,91;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,89;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,86;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,79;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,76;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,81;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,87;"zł";"";
0000000;"POLSKA";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,03;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,61;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,60;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,72;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,94;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,91;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,90;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,93;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,85;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,87;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,79;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,76;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,82;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,89;"zł";"";
0000000;"POLSKA";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,05;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,61;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,61;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,73;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,93;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,92;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,91;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,91;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,87;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,86;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,83;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,74;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,81;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,90;"zł";"";
0000000;"POLSKA";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,04;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,61;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,61;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,73;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,93;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,91;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,91;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,93;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,88;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,84;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,80;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,76;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,79;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,88;"zł";"";
0000000;"POLSKA";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,00;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,61;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,62;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,74;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,93;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,91;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,91;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,94;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,89;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,84;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,81;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,76;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,81;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,91;"zł";"";
0000000;"POLSKA";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,99;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,59;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,62;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,75;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,93;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,90;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,91;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,93;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,87;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,84;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,80;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,76;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,78;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,92;"zł";"";
0000000;"POLSKA";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,03;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,59;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,62;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,74;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,92;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,89;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,88;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,91;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,87;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,85;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,80;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,77;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,76;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,89;"zł";"";
0000000;"POLSKA";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";3,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,91;"zł";"";
