"Kod";"Nazwa";"Grupy towarów i usług";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1600000;"OPOLSKIE";"ogółem";"2007";102,6;" --";"";
1600000;"OPOLSKIE";"ogółem";"2008";104,4;" --";"";
1600000;"OPOLSKIE";"ogółem";"2009";103,5;" --";"";
1600000;"OPOLSKIE";"ogółem";"2010";102,8;" --";"";
1600000;"OPOLSKIE";"ogółem";"2011";104,4;" --";"";
1600000;"OPOLSKIE";"ogółem";"2012";103,7;" --";"";
1600000;"OPOLSKIE";"ogółem";"2013";100,7;" --";"";
1600000;"OPOLSKIE";"ogółem";"2014";99,7;" --";"";
1600000;"OPOLSKIE";"ogółem";"2015";98,9;" --";"";
1600000;"OPOLSKIE";"ogółem";"2016";99,4;" --";"";
1600000;"OPOLSKIE";"ogółem";"2017";102,2;" --";"";
1600000;"OPOLSKIE";"ogółem";"2018";101,7;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2003";100,9;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2004";103,7;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2005";102,3;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2006";101,3;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2007";102,7;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2008";104,4;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2009";103,9;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2010";103,2;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2011";104,9;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2012";104,1;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2013";100,7;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2014";100,2;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2015";98,9;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2016";99,1;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2017";102,1;" --";"";
1800000;"PODKARPACKIE";"ogółem";"2018";101,6;" --";"";
2000000;"PODLASKIE";"ogółem";"2003";100,8;" --";"";
2000000;"PODLASKIE";"ogółem";"2004";103,5;" --";"";
2000000;"PODLASKIE";"ogółem";"2005";102,0;" --";"";
2000000;"PODLASKIE";"ogółem";"2006";100,9;" --";"";
2000000;"PODLASKIE";"ogółem";"2007";102,3;" --";"";
2000000;"PODLASKIE";"ogółem";"2008";104,3;" --";"";
2000000;"PODLASKIE";"ogółem";"2009";103,2;" --";"";
2000000;"PODLASKIE";"ogółem";"2010";102,3;" --";"";
2000000;"PODLASKIE";"ogółem";"2011";104,5;" --";"";
2000000;"PODLASKIE";"ogółem";"2012";103,7;" --";"";
2000000;"PODLASKIE";"ogółem";"2013";100,6;" --";"";
2000000;"PODLASKIE";"ogółem";"2014";99,7;" --";"";
2000000;"PODLASKIE";"ogółem";"2015";98,7;" --";"";
2000000;"PODLASKIE";"ogółem";"2016";99,0;" --";"";
2000000;"PODLASKIE";"ogółem";"2017";102,1;" --";"";
2000000;"PODLASKIE";"ogółem";"2018";101,4;" --";"";
2200000;"POMORSKIE";"ogółem";"2003";100,8;" --";"";
2200000;"POMORSKIE";"ogółem";"2004";103,2;" --";"";
2200000;"POMORSKIE";"ogółem";"2005";101,7;" --";"";
2200000;"POMORSKIE";"ogółem";"2006";100,7;" --";"";
2200000;"POMORSKIE";"ogółem";"2007";102,3;" --";"";
2200000;"POMORSKIE";"ogółem";"2008";103,9;" --";"";
2200000;"POMORSKIE";"ogółem";"2009";102,4;" --";"";
2200000;"POMORSKIE";"ogółem";"2010";102,6;" --";"";
2200000;"POMORSKIE";"ogółem";"2011";104,1;" --";"";
2200000;"POMORSKIE";"ogółem";"2012";103,4;" --";"";
2200000;"POMORSKIE";"ogółem";"2013";100,9;" --";"";
2200000;"POMORSKIE";"ogółem";"2014";99,9;" --";"";
2200000;"POMORSKIE";"ogółem";"2015";99,2;" --";"";
2200000;"POMORSKIE";"ogółem";"2016";99,7;" --";"";
2200000;"POMORSKIE";"ogółem";"2017";102,1;" --";"";
2200000;"POMORSKIE";"ogółem";"2018";101,9;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2003";100,7;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2004";103,2;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2005";101,7;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2006";100,8;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2007";102,2;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2008";103,9;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2009";103,9;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2010";102,4;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2011";103,7;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2012";103,3;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2013";100,8;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2014";99,9;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2015";98,8;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2016";99,2;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2017";101,9;" --";"";
2400000;"ŚLĄSKIE";"ogółem";"2018";101,3;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2003";100,2;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2004";103,5;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2005";102,4;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2006";101,1;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2007";102,7;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2008";104,5;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2009";103,8;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2010";102,6;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2011";104,7;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2012";104,0;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2013";100,8;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2014";99,7;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2015";98,3;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2016";99,4;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2017";102,2;" --";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2018";101,9;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2003";100,3;" --";"";
